日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
2024/12/27,"3,204","3,220","3,154","3,188","2,993.30","2,728.92","2,652.07","3,190.4736","49,315,300","42,722,020.00","27,068,072.00"
2024/12/26,"3,000","3,164","2,995","3,142","2,910.00","2,707.98","2,642.90","3,110.1438","63,975,100","43,147,460.00","25,780,308.00"
2024/12/25,"2,830","2,964.5","2,792.5","2,964.5","2,826.40","2,689.28","2,635.44","2,908.0871","55,113,700","33,934,840.00","23,861,400.00"
2024/12/24,"2,850","2,858","2,829","2,835","2,778.80","2,678.64","2,630.79","2,841.4002","19,906,300","27,265,440.00","22,287,336.00"
2024/12/23,"2,805","2,839","2,784","2,837","2,746.30","2,674.46","2,628.64","2,821.9385","25,299,700","26,751,200.00","22,256,752.00"
2024/12/20,"2,748.5","2,807.5","2,735.5","2,771.5","2,717.30","2,668.02","2,627.78","2,781.3080","51,442,500","24,431,260.00","21,925,592.00"
2024/12/19,"2,676.5","2,726","2,664","2,724","2,702.50","2,665.32","2,627.90","2,703.6512","17,912,000","18,616,020.00","20,931,156.00"
2024/12/18,"2,691","2,738.5","2,690","2,726.5","2,701.40","2,663.00","2,628.38","2,721.0314","21,766,700","19,736,520.00","21,181,652.00"
2024/12/17,"2,688","2,709.5","2,670","2,672.5","2,692.60","2,660.42","2,628.30","2,687.6108","17,335,100","18,928,540.00","21,118,236.00"
2024/12/16,"2,698","2,715","2,684","2,692","2,694.00","2,662.20","2,629.28","2,695.2769","13,700,000","21,320,940.00","21,618,400.00"
2024/12/13,"2,668.5","2,697.5","2,668.5","2,697.5","2,684.70","2,660.66","2,628.64","2,680.3116","22,366,300","22,017,360.00","21,821,324.00"
2024/12/12,"2,715","2,724","2,703","2,718.5","2,671.00","2,659.26","2,627.31","2,716.0551","23,514,500","20,105,780.00","22,252,268.00"
2024/12/11,"2,693.5","2,699.5","2,667","2,682.5","2,653.70","2,661.00","2,626.82","2,680.6829","17,726,800","19,541,760.00","23,516,676.00"
2024/12/10,"2,685.5","2,700","2,667.5","2,679.5","2,643.40","2,661.08","2,626.59","2,682.6690","29,297,100","19,797,520.00","25,559,432.00"
2024/12/09,"2,629","2,645.5","2,625","2,645.5","2,637.90","2,659.46","2,626.76","2,639.3428","17,182,100","19,652,560.00","25,240,320.00"
2024/12/06,"2,647","2,652","2,617","2,629","2,631.00","2,658.26","2,627.32","2,630.4672","12,808,400","20,266,860.00","25,502,700.00"
2024/12/05,"2,649","2,649.5","2,613","2,632","2,615.50","2,660.40","2,627.74","2,629.5067","20,694,400","22,604,560.00","26,099,048.00"
2024/12/04,"2,634.5","2,657.5","2,611.5","2,631","2,610.50","2,663.58","2,629.24","2,635.1156","19,005,600","22,400,420.00","26,932,408.00"
